"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","0.8384","0.8390","0.8402","0.8381","","-0.06%"
"05/27/2025","0.8389","0.8395","0.8401","0.8371","","-0.08%"
"05/26/2025","0.8396","0.8396","0.8414","0.8387","","-0.08%"
"05/25/2025","0.8403","0.8403","0.8409","0.8397","","0.08%"
"05/23/2025","0.8396","0.8406","0.8421","0.8377","","-0.12%"
"05/22/2025","0.8406","0.8444","0.8451","0.8395","","-0.45%"
"05/21/2025","0.8444","0.8424","0.8465","0.8421","","0.24%"
"05/20/2025","0.8424","0.8415","0.8432","0.8404","","0.11%"
"05/19/2025","0.8415","0.8415","0.8436","0.8401","","0.06%"
"05/16/2025","0.8410","0.8412","0.8435","0.8392","","-0.02%"
"05/15/2025","0.8412","0.8426","0.8444","0.8402","","-0.17%"
"05/14/2025","0.8426","0.8405","0.8438","0.8403","","0.25%"
"05/13/2025","0.8405","0.8415","0.8429","0.8398","","-0.12%"
"05/12/2025","0.8415","0.8432","0.8463","0.8404","","-0.46%"
"05/09/2025","0.8454","0.8476","0.8495","0.8453","","-0.26%"
"05/08/2025","0.8476","0.8502","0.8525","0.8456","","-0.34%"
"05/07/2025","0.8505","0.8505","0.8525","0.8478","","0.00%"
"05/06/2025","0.8505","0.8511","0.8522","0.8461","","-0.07%"
"05/05/2025","0.8511","0.8516","0.8535","0.8503","","0.00%"
"05/02/2025","0.8511","0.8502","0.8543","0.8487","","0.11%"
"05/01/2025","0.8502","0.8498","0.8512","0.8477","","0.05%"
"04/30/2025","0.8498","0.8493","0.8540","0.8480","","0.07%"
"04/29/2025","0.8492","0.8499","0.8514","0.8485","","-0.08%"
"04/28/2025","0.8499","0.8538","0.8558","0.8491","","-0.42%"
