"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","1.1292","1.1338","1.1345","1.1284","","-0.40%"
"05/27/2025","1.1337","1.1388","1.1408","1.1323","","-0.45%"
"05/26/2025","1.1388","1.1366","1.1419","1.1360","","0.11%"
"05/25/2025","1.1375","1.1366","1.1382","1.1363","","0.09%"
"05/23/2025","1.1365","1.1281","1.1376","1.1279","","0.74%"
"05/22/2025","1.1281","1.1332","1.1346","1.1255","","-0.44%"
"05/21/2025","1.1331","1.1283","1.1363","1.1280","","0.43%"
"05/20/2025","1.1283","1.1238","1.1287","1.1218","","0.35%"
"05/19/2025","1.1244","1.1170","1.1289","1.1170","","0.72%"
"05/16/2025","1.1164","1.1189","1.1220","1.1130","","-0.22%"
"05/15/2025","1.1189","1.1177","1.1229","1.1170","","0.13%"
"05/14/2025","1.1175","1.1185","1.1266","1.1165","","-0.10%"
"05/13/2025","1.1186","1.1086","1.1195","1.1084","","0.88%"
"05/12/2025","1.1088","1.1219","1.1244","1.1065","","-1.42%"
"05/09/2025","1.1248","1.1228","1.1293","1.1196","","0.18%"
"05/08/2025","1.1228","1.1301","1.1337","1.1212","","-0.64%"
"05/07/2025","1.1300","1.1370","1.1379","1.1292","","-0.62%"
"05/06/2025","1.1370","1.1315","1.1382","1.1280","","0.49%"
"05/05/2025","1.1315","1.1319","1.1365","1.1292","","0.17%"
"05/02/2025","1.1296","1.1288","1.1381","1.1273","","0.04%"
"05/01/2025","1.1292","1.1329","1.1342","1.1266","","-0.33%"
"04/30/2025","1.1329","1.1386","1.1400","1.1317","","-0.50%"
"04/29/2025","1.1386","1.1422","1.1423","1.1370","","-0.32%"
"04/28/2025","1.1422","1.1375","1.1425","1.1329","","0.50%"
