"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","195.19","194.79","195.40","194.39","","0.21%"
"05/27/2025","194.79","193.76","195.67","193.03","","0.53%"
"05/26/2025","193.76","192.88","194.07","192.48","","0.21%"
"05/25/2025","193.36","192.77","193.53","192.69","","0.19%"
"05/23/2025","193.00","193.26","193.64","192.08","","-0.13%"
"05/22/2025","193.26","192.82","193.64","191.87","","0.23%"
"05/21/2025","192.82","193.55","193.66","192.54","","-0.38%"
"05/20/2025","193.55","193.56","194.25","192.88","","-0.01%"
"05/19/2025","193.56","192.98","194.11","192.59","","0.12%"
"05/16/2025","193.32","193.76","193.93","193.03","","-0.23%"
"05/15/2025","193.76","194.65","194.81","193.40","","-0.46%"
"05/14/2025","194.65","196.26","196.46","194.20","","-0.82%"
"05/13/2025","196.26","195.61","196.43","194.76","","0.33%"
"05/12/2025","195.61","194.03","195.85","193.39","","1.14%"
"05/09/2025","193.41","193.31","193.51","192.32","","0.05%"
"05/08/2025","193.31","191.23","193.55","190.97","","1.12%"
"05/07/2025","191.17","190.42","191.72","190.29","","0.39%"
"05/06/2025","190.42","191.04","191.40","190.30","","-0.32%"
"05/05/2025","191.04","192.40","192.47","190.98","","-0.71%"
"05/02/2025","192.40","193.17","193.79","191.44","","-0.40%"
"05/01/2025","193.17","190.73","193.51","190.31","","1.28%"
"04/30/2025","190.73","190.85","191.31","189.96","","-0.07%"
"04/29/2025","190.87","190.78","191.38","190.37","","-0.01%"
"04/28/2025","190.88","191.34","191.60","190.64","","-0.24%"
