"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","0.8270","0.8271","0.8292","0.8246","","-0.02%"
"05/27/2025","0.8272","0.8212","0.8281","0.8186","","0.74%"
"05/26/2025","0.8211","0.8213","0.8235","0.8192","","-0.16%"
"05/25/2025","0.8224","0.8208","0.8228","0.8207","","0.12%"
"05/23/2025","0.8214","0.8287","0.8297","0.8204","","-0.93%"
"05/22/2025","0.8291","0.8248","0.8308","0.8233","","0.44%"
"05/21/2025","0.8255","0.8283","0.8290","0.8208","","-0.35%"
"05/20/2025","0.8284","0.8342","0.8365","0.8281","","-0.75%"
"05/19/2025","0.8347","0.8376","0.8383","0.8318","","-0.38%"
"05/16/2025","0.8379","0.8359","0.8402","0.8326","","0.24%"
"05/15/2025","0.8359","0.8425","0.8425","0.8345","","-0.74%"
"05/14/2025","0.8421","0.8399","0.8437","0.8324","","0.31%"
"05/13/2025","0.8395","0.8453","0.8463","0.8386","","-0.73%"
"05/12/2025","0.8457","0.8328","0.8477","0.8311","","1.71%"
"05/09/2025","0.8315","0.8322","0.8344","0.8269","","-0.08%"
"05/08/2025","0.8322","0.8239","0.8334","0.8223","","1.02%"
"05/07/2025","0.8238","0.8216","0.8274","0.8186","","0.19%"
"05/06/2025","0.8222","0.8223","0.8267","0.8213","","-0.04%"
"05/05/2025","0.8225","0.8175","0.8386","0.8123","","-0.52%"
"05/02/2025","0.8268","0.8292","0.8327","0.8206","","-0.33%"
"05/01/2025","0.8295","0.8245","0.8334","0.8242","","0.40%"
"04/30/2025","0.8262","0.8241","0.8274","0.8214","","0.28%"
"04/29/2025","0.8239","0.8201","0.8266","0.8197","","0.48%"
"04/28/2025","0.8200","0.8292","0.8320","0.8197","","-0.95%"
