"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","144.89","144.13","145.08","143.85","","0.52%"
"05/27/2025","144.14","142.85","144.46","142.11","","0.90%"
"05/26/2025","142.85","142.45","143.09","142.22","","0.01%"
"05/25/2025","142.83","142.52","143.08","142.46","","0.18%"
"05/23/2025","142.57","144.01","144.14","142.42","","-1.00%"
"05/22/2025","144.01","143.68","144.41","142.80","","0.23%"
"05/21/2025","143.68","144.54","144.60","143.28","","-0.57%"
"05/20/2025","144.51","144.86","145.51","144.08","","-0.24%"
"05/19/2025","144.86","145.38","145.50","144.65","","-0.53%"
"05/16/2025","145.63","145.67","146.11","144.92","","-0.03%"
"05/15/2025","145.67","146.74","146.76","145.42","","-0.74%"
"05/14/2025","146.76","147.49","147.68","145.60","","-0.49%"
"05/13/2025","147.48","148.46","148.50","147.37","","-0.66%"
"05/12/2025","148.46","145.82","148.66","145.70","","2.13%"
"05/09/2025","145.36","145.92","146.19","144.82","","-0.38%"
"05/08/2025","145.92","143.82","146.19","143.45","","1.46%"
"05/07/2025","143.82","142.43","144.00","142.40","","0.98%"
"05/06/2025","142.43","143.71","144.28","142.35","","-0.89%"
"05/05/2025","143.71","144.95","145.09","143.54","","-0.86%"
"05/02/2025","144.95","145.44","145.93","143.73","","-0.34%"
"05/01/2025","145.44","143.07","145.75","142.88","","1.66%"
"04/30/2025","143.07","142.36","143.20","142.14","","0.50%"
"04/29/2025","142.36","142.01","142.77","141.97","","0.25%"
"04/28/2025","142.01","143.74","143.94","141.99","","-1.18%"
